X,Y
465,465
486,438
512,400
538,368
564,339
591,311
614,284
639,259
664,238
689,218
714,201
714,201
714,201
714,201
714,201
714,201
714,201
714,201
714,201
714,201
714,201
714,201
738,185
761,172
786,160
811,148
835,141
859,134
882,130
906,127
930,126
953,128
976,131
999,135
1023,142
1046,150
1069,161
1092,171
1114,185
1138,201
1162,219
1208,259
1231,284
1254,309
1279,328
1283,332
1281,336
1275,355
1276,368
1273,381
