Tiempo,PosX,PosY,VelX,VelY,AcelY
0.033,354,400,0.0,0.0,-12600.0
0.067,354,400,30.0,420.0,8100.0
0.1,353,386,90.0,150.0,-9000.0
0.133,350,381,30.0,450.0,2700.0
0.167,349,366,180.0,360.0,9900.0
0.2,343,354,300.0,30.0,900.0
0.233,333,353,0.0,0.0,900.0
0.267,333,353,0.0,-30.0,-900.0
0.3,333,354,-30.0,0.0,0.0
0.333,334,354,-30.0,0.0,1800.0
0.367,335,354,0.0,-60.0,-2700.0
0.4,335,356,-60.0,30.0,0.0
0.433,337,355,-90.0,30.0,1800.0
0.467,340,354,0.0,-30.0,9900.0
0.5,340,355,-90.0,-360.0,-2700.0
0.533,343,367,30.0,-270.0,-1800.0
0.567,342,376,-30.0,-210.0,900.0
0.6,343,383,-60.0,-240.0,-6300.0
0.633,345,391,30.0,-30.0,6300.0
0.667,344,392,-60.0,-240.0,2700.0
0.7,346,400,-30.0,-330.0,-2700.0
0.733,347,411,0.0,-240.0,900.0
0.767,347,419,30.0,-270.0,0.0
0.8,346,428,60.0,-270.0,0.0
0.833,344,437,180.0,-270.0,-2700.0
0.867,338,446,150.0,-180.0,-1800.0
0.9,333,452,150.0,-120.0,-3600.0
0.933,328,456,180.0,0.0,-900.0
0.967,322,456,120.0,30.0,900.0
1.0,318,455,60.0,0.0,0.0
1.033,316,455,30.0,0.0,-3600.0
1.067,315,455,-90.0,120.0,7200.0
1.1,318,451,90.0,-120.0,-3600.0
1.133,315,455,0.0,0.0,0.0
1.167,315,455,30.0,0.0,0.0
1.2,314,455,0.0,0.0,900.0
1.233,314,455,-30.0,-30.0,-1800.0
1.267,315,456,,,
1.3,316,455,,,
