Tiempo,PosX,PosY,VelX,VelY,AcelY
0.033,518,462,-690.0,1080.0,1800.0
0.067,541,426,-780.0,1020.0,2700.0
0.1,567,392,-690.0,930.0,0.0
0.133,590,361,-750.0,930.0,3600.0
0.167,615,330,-720.0,810.0,1800.0
0.2,639,303,-690.0,750.0,1800.0
0.233,662,278,-720.0,690.0,900.0
0.267,686,255,-720.0,660.0,1800.0
0.3,710,233,-660.0,600.0,2700.0
0.333,732,213,-690.0,510.0,1800.0
0.367,755,196,-690.0,450.0,900.0
0.4,778,181,-660.0,420.0,900.0
0.433,800,167,-630.0,390.0,2700.0
0.467,821,154,-690.0,300.0,1800.0
0.5,844,144,-660.0,240.0,2700.0
0.533,866,136,-660.0,150.0,900.0
0.567,888,131,-630.0,120.0,900.0
0.6,909,127,-660.0,90.0,2700.0
0.633,931,124,-660.0,0.0,0.0
0.667,953,124,-630.0,0.0,1800.0
0.7,974,124,-720.0,-60.0,2700.0
0.733,998,126,-630.0,-150.0,900.0
0.767,1019,131,-630.0,-180.0,2700.0
0.8,1040,137,-690.0,-270.0,0.0
0.833,1063,146,-630.0,-270.0,1800.0
0.867,1084,155,-660.0,-330.0,2700.0
0.9,1106,166,-690.0,-420.0,2700.0
0.933,1129,180,-630.0,-510.0,0.0
0.967,1150,197,-630.0,-510.0,1800.0
1.0,1171,214,-660.0,-570.0,900.0
1.033,1193,233,-660.0,-600.0,2700.0
1.067,1215,253,-660.0,-690.0,1800.0
1.1,1237,276,-630.0,-750.0,-4500.0
1.133,1258,301,-480.0,-600.0,-8100.0
1.167,1274,321,,,
1.2,1278,332,,,
