Tiempo,PosX,PosY,VelX,VelY,AcelY
0.543,322,390.0,-0.001,0.0,0.0
0.587,334,411.0,276.929,-3727.971,-3727.971
0.627,349,434.0,372.34,-1232.327,-1232.327
0.678,365,456.0,312.213,380.769,380.769
0.72,382,476.0,407.661,1150.087,1150.087
0.755,398,496.0,454.201,0.0,0.0
0.791,414,514.0,440.691,1517.256,1517.256
0.829,430,530.0,422.008,1391.332,1391.332
0.874,446,546.0,359.232,0.0,0.0
0.909,462,560.0,460.713,1658.252,1658.252
0.945,478,572.0,433.665,1469.263,1469.263
0.98,493,585.0,435.138,-841.535,-841.535
1.015,509,594.0,461.519,3328.127,3328.127
1.049,525,603.0,463.776,0.0,0.0
1.086,539,611.0,383.958,752.163,752.163
1.118,555,617.0,485.692,1842.942,1842.942
1.152,570,622.0,454.156,916.701,916.701
1.183,585,626.0,469.723,980.622,980.622
1.216,600,628.0,453.843,1830.873,1830.873
1.25,614,630.0,413.858,0.0,0.0
1.283,630,630.0,484.993,1837.639,1837.639
1.316,644,629.0,430.355,944.925,944.925
1.35,659,627.0,438.73,855.484,855.484
1.385,674,623.0,426.11,1613.951,1613.951
1.417,688,619.0,445.451,0.0,0.0
1.448,703,613.0,473.3,1991.222,1991.222
1.481,718,607.0,460.37,0.0,0.0
1.511,732,598.0,459.458,3231.145,3231.145
1.543,747,589.0,470.559,0.0,0.0
1.577,761,578.0,420.418,1803.584,1803.584
1.61,777,567.0,483.541,0.0,0.0
1.642,791,555.0,432.319,953.57,953.57
1.675,805,541.0,431.401,1899.05,1899.05
1.707,819,525.0,425.818,1850.214,1850.214
1.74,833,511.0,433.893,-1921.055,-1921.055
1.772,842,501.0,279.351,-3853.686,-3853.686
