Tiempo,PosX,PosY,VelX,VelY,AcelY
0.04,541,654,-650.0,850.0,1875.0
0.08,567,688,-575.0,775.0,0.0
0.12,590,719,-625.0,775.0,2500.0
0.16,615,750,-600.0,675.0,1250.0
0.2,639,777,-575.0,625.0,1250.0
0.24,662,802,-600.0,575.0,625.0
0.28,686,825,-600.0,550.0,1250.0
0.32,710,847,-550.0,500.0,1875.0
0.36,732,867,-575.0,425.0,1250.0
0.4,755,884,-575.0,375.0,625.0
0.44,778,899,-550.0,350.0,625.0
0.48,800,913,-525.0,325.0,1875.0
0.52,821,926,-575.0,250.0,1250.0
0.56,844,936,-550.0,200.0,1875.0
0.6,866,944,-550.0,125.0,625.0
0.64,888,949,-525.0,100.0,625.0
0.68,909,953,-550.0,75.0,1875.0
0.72,931,956,-550.0,0.0,0.0
0.76,953,956,-525.0,0.0,1250.0
0.8,974,956,-600.0,-50.0,1875.0
0.84,998,954,-525.0,-125.0,625.0
0.88,1019,949,-525.0,-150.0,1875.0
0.92,1040,943,-575.0,-225.0,0.0
0.96,1063,934,-525.0,-225.0,1250.0
1.0,1084,925,-550.0,-275.0,1875.0
1.04,1106,914,-575.0,-350.0,1875.0
1.08,1129,900,-525.0,-425.0,0.0
1.12,1150,883,-525.0,-425.0,1250.0
1.16,1171,866,-550.0,-475.0,625.0
1.2,1193,847,-550.0,-500.0,1875.0
1.24,1215,827,-550.0,-575.0,1250.0
1.28,1237,804,-525.0,-625.0,-3125.0
1.32,1258,779,-400.0,-500.0,-5625.0
1.36,1274,759,,,
1.4,1278,748,,,
