pos_x_teoria,pos_y_teoria,tiempos_teoria,vel_x_teoria,vel_y_teoria,acc_x_teoria,acc_y_teoria
0.0,2.2,0.0,4.150943396226415,5.836949999999996,0.0,-4.9050000000002925
0.04150943396226415,2.2583695,0.01,4.150943396226415,5.787899999999993,8.526512829121202e-14,-7.357499999999561
0.0830188679245283,2.315758,0.02,4.150943396226417,5.689800000000005,0.0,-9.809999999998752
0.12452830188679245,2.3721655,0.03,4.150943396226415,5.591700000000017,-1.1368683772161603e-13,-9.81000000000023
0.1660377358490566,2.427592,0.04,4.150943396226414,5.493600000000001,8.526512829121202e-14,-9.810000000000912
0.20754716981132076,2.4820375,0.05,4.150943396226417,5.395499999999998,5.684341886080802e-14,-9.809999999999548
0.2490566037735849,2.535502,0.06,4.150943396226415,5.29740000000001,-1.1368683772161603e-13,-9.809999999998126
0.2905660377358491,2.5879855000000003,0.07,4.150943396226415,5.1993000000000364,-1.7053025658242404e-13,-9.810000000000258
0.3320754716981132,2.6394880000000005,0.08,4.1509433962264115,5.101200000000006,8.526512829121202e-14,-9.810000000003782
0.37358490566037733,2.6900095,0.09,4.150943396226417,5.003099999999961,4.263256414560601e-13,-9.809999999998809
0.41509433962264153,2.7395500000000004,0.1,4.15094339622642,4.90500000000003,2.842170943040401e-14,-9.80999999999878
0.45660377358490567,2.7881095000000005,0.11,4.150943396226417,4.806899999999985,-5.400124791776761e-13,-9.810000000003072
0.4981132075471698,2.835688,0.12,4.15094339622641,4.708799999999968,-2.842170943040401e-14,-9.809999999998837
0.539622641509434,2.8822855,0.13,4.150943396226417,4.6107000000000085,5.400124791776761e-13,-9.809999999997387
0.5811320754716982,2.9279020000000004,0.14,4.15094339622642,4.51260000000002,-3.694822225952521e-13,-9.810000000000258
0.6226415094339622,2.9725375000000005,0.15,4.15094339622641,4.414500000000004,0.0,-9.810000000003072
0.6641509433962264,3.016192,0.16,4.15094339622642,4.316399999999959,3.410605131648481e-13,-9.810000000001622
0.7056603773584906,3.0588655,0.17,4.150943396226417,4.218299999999971,-1.9895196601282805e-13,-9.809999999998809
0.7471698113207547,3.100558,0.18,4.150943396226417,4.120199999999983,2.842170943040401e-14,-9.809999999998809
0.7886792452830189,3.1412695,0.19,4.150943396226417,4.022099999999995,-3.410605131648481e-13,-9.809999999998809
0.8301886792452831,3.181,0.2,4.15094339622641,3.9240000000000066,-2.842170943040401e-14,-9.809999999998809
0.8716981132075471,3.2197495000000003,0.21,4.150943396226417,3.8259000000000185,3.694822225952521e-13,-9.810000000000258
0.9132075471698113,3.2575180000000006,0.22,4.150943396226417,3.727800000000002,0.0,-9.810000000003043
0.9547169811320755,3.2943055,0.23,4.150943396226417,3.629699999999957,-2.842170943040401e-14,-9.809999999998809
0.9962264150943396,3.3301119999999997,0.24,4.150943396226417,3.531600000000026,-3.410605131648481e-13,-9.809999999997416
1.0377358490566038,3.3649375,0.25,4.15094339622641,3.4335000000000093,-3.410605131648481e-13,-9.81000000000023
1.079245283018868,3.398782,0.26,4.15094339622641,3.3354000000000212,7.105427357601002e-13,-9.81000000000023
1.120754716981132,3.4316455,0.27,4.150943396226424,3.2373000000000047,7.105427357601002e-13,-9.81000000000165
1.1622641509433964,3.463528,0.28,4.150943396226424,3.139199999999988,-6.821210263296962e-13,-9.81000000000165
1.2037735849056603,3.4944295,0.29,4.15094339622641,3.0410999999999717,-3.694822225952521e-13,-9.810000000000286
1.2452830188679245,3.52435,0.3,4.150943396226417,2.9429999999999836,3.410605131648481e-13,-9.80999999999878
1.2867924528301886,3.5532895,0.31,4.150943396226417,2.8448999999999955,3.694822225952521e-13,-9.809999999998809
1.3283018867924528,3.581248,0.32,4.150943396226424,2.7468000000000075,3.694822225952521e-13,-9.81000000000023
1.3698113207547171,3.6082255,0.33,4.150943396226424,2.648699999999991,-7.105427357601002e-13,-9.81000000000023
1.4113207547169813,3.6342220000000003,0.34,4.15094339622641,2.550600000000003,-7.105427357601002e-13,-9.809999999995952
1.4528301886792454,3.6592375,0.35000000000000003,4.15094339622641,2.4525000000000716,-6.821210263296962e-13,-9.810000000001665
1.4943396226415093,3.6832720000000005,0.36,4.1509433962263955,2.35439999999997,6.821210263296962e-13,-9.8100000000031
1.5358490566037735,3.7063254999999997,0.37,4.150943396226424,2.25630000000001,1.4210854715202004e-12,-9.809999999997373
1.5773584905660378,3.7283980000000008,0.38,4.150943396226424,2.158200000000022,-7.105427357601002e-13,-9.810000000001637
1.618867924528302,3.7494895,0.39,4.15094339622641,2.060099999999977,-7.105427357601002e-13,-9.81000000000165
1.6603773584905661,3.7696,0.4,4.15094339622641,1.961999999999989,1.4210854715202004e-12,-9.809999999998809
1.7018867924528303,3.7887295,0.41000000000000003,4.150943396226438,1.863900000000001,2.842170943040401e-14,-9.81000000000023
1.7433962264150942,3.8068779999999998,0.42,4.15094339622641,1.7657999999999845,-7.389644451905042e-13,-9.810000000000258
1.7849056603773585,3.8240455000000004,0.43,4.150943396226424,1.6676999999999964,0.0,-9.809999999998809
1.8264150943396227,3.840232,0.44,4.15094339622641,1.5696000000000083,-7.105427357601002e-13,-9.809999999998794
1.8679245283018868,3.8554375000000007,0.45,4.15094339622641,1.4715000000000202,0.0,-9.810000000003058
1.909433962264151,3.869662,0.46,4.15094339622641,1.3733999999999469,1.4210854715202004e-12,-9.809999999997387
1.950943396226415,3.8829055,0.47000000000000003,4.150943396226438,1.2753000000000725,-6.821210263296962e-13,-9.809999999998823
