PosX_metros,PosY_metros,Tiempo,VelX,VelY,AccX,AccY
0.0,2.2,0.0,3.703703703703707,5.185185185185182,5.555555555555474,3.7037037037039333
0.1234567901234569,2.3728395061728396,0.03333333333333333,3.8888888888888893,5.308641975308646,5.555555555555479,0.925925925925938
0.2592592592592593,2.5539094650205763,0.06666666666666667,4.074074074074072,5.246913580246911,3.7037037037036953,-5.5555555555557135
0.3950617283950617,2.722633744855967,0.1,4.135802469135802,4.938271604938265,1.8518518518519684,-10.185185185185077
0.5349794238683128,2.883127572016461,0.13333333333333333,4.197530864197536,4.5679012345679055,-2.1316282072803006e-14,-11.111111111110901
0.674897119341564,3.027160493827161,0.16666666666666666,4.1358024691358,4.197530864197539,-2.777777777777864,-10.185185185185397
0.8106995884773662,3.162962962962963,0.2,4.012345679012345,3.8888888888888786,-0.9259259259258386,-10.185185185185311
0.9423868312757204,3.28641975308642,0.23333333333333334,4.074074074074078,3.518518518518519,0.9259259259259167,-10.185185185185084
1.0823045267489715,3.397530864197531,0.26666666666666666,4.074074074074073,3.209876543209873,-1.8518518518519684,-8.33333333333325
1.2139917695473252,3.500411522633745,0.3,3.9506172839506135,2.962962962962969,-1.8518518518517837,-9.25925925925906
1.345679012345679,3.595061728395062,0.3333333333333333,3.9506172839506206,2.5925925925926023,0.9259259259259736,-11.11111111111132
1.4773662551440332,3.6732510288065847,0.36666666666666664,4.012345679012345,2.2222222222222143,0.9259259259258528,-10.185185185185187
1.6131687242798354,3.7432098765432102,0.4,4.012345679012345,1.9135802469135896,-0.9259259259258528,-9.259259259259156
1.7448559670781896,3.80082304526749,0.43333333333333335,3.9506172839506206,1.6049382716049365,-1.8518518518517837,-9.25925925925938
1.8765432098765433,3.8502057613168725,0.4666666666666667,3.888888888888893,1.2962962962962976,-0.9259259259258101,-8.333333333333359
2.004115226337449,3.8872427983539097,0.5,3.8888888888889,1.0493827160493794,0.9259259259257533,-7.407407407407442
2.135802469135803,3.920164609053498,0.5333333333333333,3.95061728395061,0.8024691358024683,-3.197442310920451e-13,-9.25925925925906
2.2674897119341564,3.940740740740741,0.5666666666666667,3.8888888888888786,0.4320987654321087,-0.9259259259257533,-10.185185185185086
2.3950617283950617,3.9489711934156384,0.6,3.888888888888893,0.12345679012346267,2.1316282072803006e-13,-8.333333333333572
2.526748971193416,3.9489711934156384,0.6333333333333333,3.888888888888893,-0.12345679012346267,0.0,-9.259259259259382
2.6543209876543212,3.940740740740741,0.6666666666666666,3.888888888888893,-0.49382716049382935,0.0,-9.259259259259062
2.7860082304526754,3.9160493827160496,0.7,3.888888888888893,-0.7407407407407334,-0.9259259259259167,-7.407407407407441
2.9135802469135808,3.8913580246913586,0.7333333333333333,3.827160493827165,-0.9876543209876587,0.0,-9.259259259259382
3.041152263374486,3.8502057613168725,0.7666666666666666,3.888888888888893,-1.3580246913580254,0.9259259259258172,-9.259259259259053
3.1728395061728403,3.80082304526749,0.8,3.8888888888888857,-1.6049382716049294,-1.8518518518519471,-8.33333333333324
3.3004115226337456,3.7432098765432102,0.8333333333333334,3.76543209876543,-1.9135802469135754,-0.9259259259259167,-10.1851851851853
3.423868312757202,3.6732510288065847,0.8666666666666667,3.827160493827158,-2.283950617283949,2.7777777777778567,-9.259259259259384
3.5555555555555562,3.5909465020576135,0.9,3.9506172839506206,-2.5308641975308674,0.0,-7.40740740740744
3.6872427983539104,3.5045267489711938,0.9333333333333333,3.827160493827158,-2.7777777777777786,-2.7777777777778567,-10.185185185185084
3.810699588477367,3.4057613168724283,0.9666666666666667,3.76543209876543,-3.209876543209873,15.740740740741018,-10.185185185185297
3.938271604938272,3.2905349794238687,1.0,4.876543209876559,-3.4567901234567984,32.4074074074078,-3.7037037037041003
4.135802469135803,3.1753086419753087,1.0333333333333332,5.925925925925947,-3.4567901234568135,31.481481481481758,-4.529709940470655e-13
